"track_id","X","length","song","liv_acoust"
"5cE201rNvIkryS8N1dJ5nR",119,3.33863333333333,1,0
"4AkCyd9Nlbt8JprQq9V6o2",120,2.67186666666667,1,0
"48GmVZwvkoVC5StfMLfNJE",121,3.65868333333333,1,0
"01iyINEYgPQ7ThMZuHUsqS",122,3.45713333333333,1,0
"6BwClo5W3VvTzJv8bvZXDD",123,2.99218333333333,1,0
"108r6pnZHStBIktpyyps9w",124,2.76666666666667,1,0
"24Hzd4FPhz0HPx9jhM9cap",125,3.38666666666667,1,0
"4aTtHoSBB0CuQGA6vXBNyp",126,3.98445,1,0
"0gIZLyF3MWQVcspzrLWYod",127,2.45923333333333,1,0
"6y1UtRcHQU07aUs3oxZ8Yn",128,3.144,1,0
"54z0kLF0skj0Hdb9wCqPJt",129,2.61931666666667,1,0
"6mPstbtzhyqKmwefY4eVWD",130,3.80836666666667,1,0
"6uBhi9gBXWjanegOb2Phh0",131,3.50151666666667,1,0
"1Pe3Tnahd3nNcKrTvNvNvW",132,3.11916666666667,1,0
"4w8niZpiMy6qz1mntFA5uM",133,3.54166666666667,1,0
"7BKLCZ1jbUBVqRi2FVlTVw",134,4.08266666666667,1,0
"2IDHoSlbG0CKH9rhq68wTb",135,4.05151666666667,1,0
"60wwxj6Dd9NJlirf84wr2c",136,4.52378333333333,1,0
"6kPJZM97LwdG9QIsT7khp6",137,3.71088333333333,1,0
"3ebXMykcMXOcLeJ9xZ17XH",138,3.68138333333333,1,0
"7iNIg7XDEaYECfWD5dJ9Va",139,3.15778333333333,1,0
"6cy3ki60hLwimwIje7tALf",140,3.69523333333333,1,0
"5N5k9nd479b1xpDZ4usjrg",141,3.55515,1,0
"0qaWEvPkts34WF68r8Dzx9",142,3.47456666666667,1,0
"6jq6rcOikCZAmjliAgAmfT",143,3.99755,1,0
"762UXiwEHYY97VL45sAUPR",144,3.24845,1,0
"6RUKPb4LETWmmr3iAEQktW",145,4.11933333333333,1,0
"7ef4DlsgrMEH11cDZd32M6",146,3.58078333333333,1,0
"3zU9rdflI65tK4dkkNSp77",147,3.50021666666667,1,0
"12GEpg2XOPyqk03JZEZnJs",148,3.67968333333333,1,0
"4kte3OcW800TPvOVgrLLj8",149,4.19378333333333,1,0
"0lYBSQXN6rCTvUZvg9S0lU",150,3.43245,1,0
"3vv9phIu6Y1vX3jcqaGz5Z",151,3.77898333333333,1,0
"2QtJA4gbwe1AcanB2p21aP",152,3.62245,1,0
"1BltsyC5W3SAABdxyrDXwi",153,4.26053333333333,1,0
